simulation_id,session_index,time,action,state,reward
0.0_s1_5,6,19,A_independent,s1,2
0.0_s1_5,6,20,A_independent,s1,2
0.0_s1_5,7,1,A_independent,s1,2
0.0_s1_5,7,2,A_independent,s1,2
0.0_s1_5,7,3,A_independent,s1,2
0.0_s1_5,7,4,A_independent,s1,2
0.0_s1_5,7,5,A_independent,s1,2
0.0_s1_5,7,6,A_independent,s1,2
0.0_s1_5,7,7,A_independent,s1,2
0.0_s1_5,7,8,A_independent,s1,2
0.0_s1_5,7,9,A_independent,s1,2
0.0_s1_5,7,10,A_independent,s1,2
0.0_s1_5,7,11,A_independent,s1,2
0.0_s1_5,7,12,A_independent,s1,2
0.0_s1_5,7,13,A_independent,s1,2
0.0_s1_5,7,14,A_independent,s1,2
0.0_s1_5,7,15,A_independent,s1,2
0.0_s1_5,7,16,A_independent,s1,2
0.0_s1_5,7,17,A_independent,s1,2
0.0_s1_5,7,18,A_independent,s1,2
0.0_s1_5,7,19,A_independent,s1,2
0.0_s1_5,7,20,A_independent,s1,2
0.0_s1_5,8,1,A_independent,s1,2
0.0_s1_5,8,2,A_independent,s1,2
0.0_s1_5,8,3,A_independent,s1,2
0.0_s1_5,8,4,A_independent,s1,2
0.0_s1_5,8,5,A_independent,s1,2
0.0_s1_5,8,6,A_independent,s1,2
0.0_s1_5,8,7,A_independent,s1,2
0.0_s1_5,8,8,A_independent,s1,2
0.0_s1_5,8,9,A_independent,s1,2
0.0_s1_5,8,10,A_independent,s1,2
0.0_s1_5,8,11,A_independent,s1,2
0.0_s1_5,8,12,A_independent,s1,2
0.0_s1_5,8,13,A_independent,s1,2
0.0_s1_5,8,14,A_independent,s1,2
0.0_s1_5,8,15,A_independent,s1,2
0.0_s1_5,8,16,A_independent,s1,2
0.0_s1_5,8,17,A_independent,s1,2
0.0_s1_5,8,18,A_independent,s1,2
0.0_s1_5,8,19,A_independent,s1,2
0.0_s1_5,8,20,A_independent,s1,2
0.0_s1_5,9,1,A_independent,s1,2
0.0_s1_5,9,2,A_independent,s1,2
0.0_s1_5,9,3,A_independent,s1,2
0.0_s1_5,9,4,A_independent,s1,2
0.0_s1_5,9,5,A_independent,s1,2
0.0_s1_5,9,6,A_independent,s1,2
0.0_s1_5,9,7,A_independent,s1,2
0.0_s1_5,9,8,A_independent,s1,2
0.0_s1_5,9,9,A_independent,s1,2
0.0_s1_5,9,10,A_independent,s1,2
0.0_s1_5,9,11,A_independent,s1,2
0.0_s1_5,9,12,A_independent,s1,2
