simulation_id,session_index,time,action,state,reward
av5,7,6,A_dependent,s3,3
av5,7,7,A_dependent,s3,3
av5,7,8,A_dependent,s3,3
av5,7,9,A_dependent,s3,3
av5,7,10,A_dependent,s3,3
av5,8,1,A_dependent,s3,3
av5,8,2,A_dependent,s3,3
av5,8,3,A_dependent,s3,3
av5,8,4,A_dependent,s3,3
av5,8,5,A_dependent,s3,3
av5,8,6,A_dependent,s3,3
av5,8,7,A_dependent,s3,3
av5,8,8,A_dependent,s3,3
av5,8,9,A_dependent,s3,3
av5,8,10,A_dependent,s3,3
av5,9,1,A_dependent,s3,3
av5,9,2,A_dependent,s3,3
av5,9,3,A_dependent,s3,3
av5,9,4,A_dependent,s3,3
av5,9,5,A_dependent,s3,3
av5,9,6,A_dependent,s3,3
av5,9,7,A_dependent,s3,3
av5,9,8,A_dependent,s3,3
av5,9,9,A_dependent,s3,3
av5,9,10,A_dependent,s3,3
